date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:05:38	89166/89166	---M--	200	added ('OK')	text/html	etag:%226e666a496a65fba5f92cf33b88c0846c%22	http://r4ds.had.co.nz/r-markdown-workflow.html	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/r-markdown-workflow.html	(from http://r4ds.had.co.nz/)
23:05:46	15008/15008	---M--	200	added ('OK')	application/javascript	etag:%22fbc747c6143aabb39b0ea7c0524b7057%22	http://r4ds.had.co.nz/libs/gitbook-2.6.7/js/lunr.js	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/libs/gitbook-2.6.7/js/lunr.js	(from http://r4ds.had.co.nz/)
23:05:46	7263/7263	---M--	200	added ('OK')	application/javascript	etag:%22c34345b703eda216377847d7a5ca438f%22	http://r4ds.had.co.nz/libs/gitbook-2.6.7/js/plugin-search.js	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/libs/gitbook-2.6.7/js/plugin-search.js	(from http://r4ds.had.co.nz/)
23:05:46	3401/3401	---M--	200	added ('OK')	application/javascript	etag:%226bf6026f65a07938ae68a3f482bdad06%22	http://r4ds.had.co.nz/libs/gitbook-2.6.7/js/plugin-sharing.js	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/libs/gitbook-2.6.7/js/plugin-sharing.js	(from http://r4ds.had.co.nz/)
23:05:50	4013/4013	---M--	200	added ('OK')	application/javascript	etag:%22785acc7a4fb9c5b3e851979d00ef36f6%22	http://r4ds.had.co.nz/libs/gitbook-2.6.7/js/plugin-fontsettings.js	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/libs/gitbook-2.6.7/js/plugin-fontsettings.js	(from http://r4ds.had.co.nz/)
23:05:52	7703/7703	---M--	200	added ('OK')	application/javascript	etag:%22ae3b64b020e92f04809ea0bce081dff4%22	http://r4ds.had.co.nz/libs/gitbook-2.6.7/js/plugin-bookdown.js	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/libs/gitbook-2.6.7/js/plugin-bookdown.js	(from http://r4ds.had.co.nz/)
23:05:52	3062/3062	---M--	200	added ('OK')	application/javascript	etag:%228ae57478bb4456f671199c86771e40ff%22	http://r4ds.had.co.nz/libs/gitbook-2.6.7/js/jquery.highlight.js	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/libs/gitbook-2.6.7/js/jquery.highlight.js	(from http://r4ds.had.co.nz/)
23:05:54	147181/147181	---M--	200	added ('OK')	application/javascript	etag:%22f757ff18ccd4264e247265d980da7880%22	http://r4ds.had.co.nz/libs/gitbook-2.6.7/js/app.min.js	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/libs/gitbook-2.6.7/js/app.min.js	(from http://r4ds.had.co.nz/)
23:05:56	13579/13579	---M--	200	added ('OK')	image/png	etag:%2206c6244ab5e01de693e5fee3be8ec933%22	http://r4ds.had.co.nz/diagrams/data-science.png	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/diagrams/data-science.png	(from http://r4ds.had.co.nz/introduction.html)
23:06:02	1502/1502	---M--	200	added ('OK')	image/png	etag:%227cb0d2482ecadc1b80eb0abe457371b6%22	http://r4ds.had.co.nz/libs/leaflet-0.7.7/images/layers.png	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/libs/leaflet-0.7.7/images/layers.png	(from http://r4ds.had.co.nz/libs/leaflet-0.7.7/leaflet.css)
23:06:04	2898/2898	---M--	200	added ('OK')	image/png	etag:%22324b4fcaf164735c627269504b7bc28e%22	http://r4ds.had.co.nz/libs/leaflet-0.7.7/images/layers-2x.png	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/libs/leaflet-0.7.7/images/layers-2x.png	(from http://r4ds.had.co.nz/libs/leaflet-0.7.7/leaflet.css)
23:06:07	14224/14224	---M--	200	added ('OK')	image/png	etag:%22b74b760899dd03a5cd93f39022fb5b9d%22	http://r4ds.had.co.nz/diagrams/data-science-explore.png	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/diagrams/data-science-explore.png	(from http://r4ds.had.co.nz/explore-intro.html)
23:06:10	25448/25448	---M--	200	added ('OK')	image/png	etag:%223856901ede84fdda8fbc1d7f30e2d219%22	http://r4ds.had.co.nz/visualize_files/figure-html/unnamed-chunk-4-1.png	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/visualize_files/figure-html/unnamed-chunk-4-1.png	(from http://r4ds.had.co.nz/data-visualisation.html)
23:06:15	15034/15034	---M--	200	added ('OK')	image/png	etag:%228a0d21ee421c3489b1f3d94bf83a0b4a%22	http://r4ds.had.co.nz/visualize_files/figure-html/unnamed-chunk-7-1.png	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/visualize_files/figure-html/unnamed-chunk-7-1.png	(from http://r4ds.had.co.nz/data-visualisation.html)
23:06:17	49563/49563	---M--	200	added ('OK')	image/png	etag:%22f94d828073518d151d57b0e0b99658c5%22	http://r4ds.had.co.nz/visualize_files/figure-html/unnamed-chunk-6-1.png	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/visualize_files/figure-html/unnamed-chunk-6-1.png	(from http://r4ds.had.co.nz/data-visualisation.html)
